epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,457.969,2.12511,1.58046,1.22883,0.43298,0.14739,0.25404,0.12491,2.14519,1.59392,1.16423,7.657e-05,7.657e-05,7.657e-05
73,464.237,2.22656,1.6492,1.24089,0.43298,0.14739,0.25404,0.12491,2.14519,1.59392,1.16423,7.624e-05,7.624e-05,7.624e-05
74,470.769,2.24439,1.66031,1.24341,0.42271,0.14422,0.24771,0.12298,2.13295,1.58804,1.15764,7.591e-05,7.591e-05,7.591e-05
75,477.14,2.18077,1.63072,1.22697,0.42271,0.14422,0.24771,0.12298,2.13295,1.58804,1.15764,7.558e-05,7.558e-05,7.558e-05
76,483.665,2.17207,1.58993,1.21408,0.42271,0.14422,0.24771,0.12298,2.13295,1.58804,1.15764,7.525e-05,7.525e-05,7.525e-05
77,490.302,2.30132,1.63067,1.2309,0.4263,0.14586,0.24976,0.12519,2.12853,1.58153,1.15677,7.492e-05,7.492e-05,7.492e-05
78,496.628,2.20274,1.55832,1.20463,0.4263,0.14586,0.24976,0.12519,2.12853,1.58153,1.15677,7.459e-05,7.459e-05,7.459e-05
79,503.091,2.1835,1.61875,1.25506,0.43507,0.15223,0.25645,0.12989,2.12184,1.57651,1.15406,7.426e-05,7.426e-05,7.426e-05
80,509.584,2.14801,1.5914,1.24845,0.43507,0.15223,0.25645,0.12989,2.12184,1.57651,1.15406,7.393e-05,7.393e-05,7.393e-05
81,515.899,2.09752,1.55413,1.22837,0.42588,0.15174,0.25177,0.12745,2.11434,1.57631,1.15223,7.36e-05,7.36e-05,7.36e-05
82,522.456,2.12956,1.5385,1.18825,0.42588,0.15174,0.25177,0.12745,2.11434,1.57631,1.15223,7.327e-05,7.327e-05,7.327e-05
83,528.808,2.10367,1.52162,1.20333,0.42588,0.15174,0.25177,0.12745,2.11434,1.57631,1.15223,7.294e-05,7.294e-05,7.294e-05
84,535.341,2.29603,1.62405,1.17514,0.40958,0.14812,0.24343,0.12298,2.1141,1.57818,1.15407,7.261e-05,7.261e-05,7.261e-05
85,541.58,2.11033,1.53763,1.22646,0.40958,0.14812,0.24343,0.12298,2.1141,1.57818,1.15407,7.228e-05,7.228e-05,7.228e-05
86,547.855,2.23131,1.59118,1.21277,0.4155,0.1517,0.24753,0.12604,2.10427,1.57686,1.14995,7.195e-05,7.195e-05,7.195e-05
87,554.237,2.12723,1.6004,1.24569,0.4155,0.1517,0.24753,0.12604,2.10427,1.57686,1.14995,7.162e-05,7.162e-05,7.162e-05
88,560.537,2.08301,1.53404,1.21661,0.4098,0.14815,0.24412,0.1221,2.10011,1.59321,1.14926,7.129e-05,7.129e-05,7.129e-05
89,566.544,2.14768,1.55301,1.24327,0.4098,0.14815,0.24412,0.1221,2.10011,1.59321,1.14926,7.096e-05,7.096e-05,7.096e-05
90,573.155,2.25142,1.58348,1.18636,0.40936,0.14902,0.24376,0.12186,2.09886,1.58551,1.14675,7.063e-05,7.063e-05,7.063e-05
91,579.334,2.14196,1.51742,1.19946,0.40936,0.14902,0.24376,0.12186,2.09886,1.58551,1.14675,7.03e-05,7.03e-05,7.03e-05
